Age,Gender,Education_Level,Job_Title,Years_of_Experience,Salary
33,Female,Bachelor's Degree,Full Stack Engineer,7," 1,30,000 "
30,Female,Master's Degree,Front end Developer,5," 1,05,000 "
50,Male,PhD,Senior Project Engineer,19," 2,00,000 "
30,Male,Bachelor's Degree,Back end Developer,5," 1,00,000 "
42,Male,Master's Degree,Software Engineer Manager,13," 1,70,000 "
33,Female,Bachelor's Degree,Full Stack Engineer,6," 1,15,000 "
45,Male,PhD,Senior Project Engineer,16," 1,85,000 "
29,Female,Bachelor's Degree,Front end Developer,4," 90,000 "
39,Female,Master's Degree,Software Engineer Manager,12," 1,60,000 "
27,Male,Bachelor's Degree,Back end Developer,3," 80,000 "
49,Male,PhD,Senior Project Engineer,17," 1,95,000 "
32,Female,Master's Degree,Full Stack Engineer,6," 1,15,000 "
36,Male,Bachelor's Degree,Software Engineer Manager,8," 1,35,000 "
27,Male,Bachelor's Degree,Front end Developer,2," 65,000 "
43,Female,PhD,Senior Project Engineer,14," 1,90,000 "
34,Male,Master's Degree,Back end Developer,8," 1,40,000 "
46,Male,PhD,Software Engineer Manager,16," 1,85,000 "
33,Female,Bachelor's Degree,Full Stack Engineer,7," 1,30,000 "
30,Female,Master's Degree,Front end Developer,5," 1,05,000 "
50,Male,PhD,Senior Project Engineer,19," 2,00,000 "
30,Male,Bachelor's Degree,Back end Developer,5," 1,00,000 "
42,Male,Master's Degree,Software Engineer Manager,13," 1,70,000 "
33,Female,Bachelor's Degree,Full Stack Engineer,6," 1,15,000 "
45,Male,PhD,Senior Project Engineer,16," 1,85,000 "
29,Female,Bachelor's Degree,Front end Developer,4," 90,000 "
39,Female,Master's Degree,Software Engineer Manager,12," 1,60,000 "
27,Male,Bachelor's Degree,Back end Developer,3," 80,000 "
49,Male,PhD,Senior Project Engineer,17," 1,95,000 "
32,Female,Master's Degree,Full Stack Engineer,6," 1,15,000 "
36,Male,Bachelor's Degree,Software Engineer Manager,8," 1,35,000 "
27,Male,Bachelor's Degree,Front end Developer,2," 65,000 "
43,Female,PhD,Senior Project Engineer,14," 1,90,000 "
34,Male,Master's Degree,Back end Developer,8," 1,40,000 "
46,Male,PhD,Software Engineer Manager,16," 1,85,000 "
33,Female,Bachelor's Degree,Full Stack Engineer,7," 1,30,000 "
30,Female,Master's Degree,Front end Developer,5," 1,05,000 "
50,Male,PhD,Senior Project Engineer,19," 2,00,000 "
30,Male,Bachelor's Degree,Back end Developer,5," 1,00,000 "
42,Male,Master's Degree,Software Engineer Manager,13," 1,70,000 "
33,Female,Bachelor's Degree,Full Stack Engineer,6," 1,15,000 "
45,Male,PhD,Senior Project Engineer,16," 1,85,000 "
29,Female,Bachelor's Degree,Front end Developer,4," 90,000 "
39,Female,Master's Degree,Software Engineer Manager,12," 1,60,000 "
27,Male,Bachelor's Degree,Back end Developer,3," 80,000 "
49,Male,PhD,Senior Project Engineer,17," 1,95,000 "
32,Female,Master's Degree,Full Stack Engineer,6," 1,15,000 "
36,Male,Bachelor's Degree,Software Engineer Manager,8," 1,35,000 "
27,Male,Bachelor's Degree,Front end Developer,2," 65,000 "
43,Female,PhD,Senior Project Engineer,14," 1,90,000 "
34,Male,Master's Degree,Back end Developer,8," 1,40,000 "
46,Male,PhD,Software Engineer Manager,16," 1,85,000 "
33,Female,Bachelor's Degree,Full Stack Engineer,7," 1,30,000 "
30,Female,Master's Degree,Front end Developer,5," 1,05,000 "
50,Male,PhD,Senior Project Engineer,19," 2,00,000 "
30,Male,Bachelor's Degree,Back end Developer,5," 1,00,000 "
42,Male,Master's Degree,Software Engineer Manager,13," 1,70,000 "
33,Female,Bachelor's Degree,Full Stack Engineer,6," 1,15,000 "
45,Male,PhD,Senior Project Engineer,16," 1,85,000 "
29,Female,Bachelor's Degree,Front end Developer,4," 90,000 "
39,Female,Master's Degree,Software Engineer Manager,12," 1,60,000 "
27,Male,Bachelor's Degree,Back end Developer,3," 80,000 "
49,Male,PhD,Senior Project Engineer,17," 1,95,000 "
32,Female,Master's Degree,Full Stack Engineer,6," 1,15,000 "
36,Male,Bachelor's Degree,Software Engineer Manager,8," 1,35,000 "
27,Male,Bachelor's Degree,Front end Developer,2," 65,000 "
43,Female,PhD,Senior Project Engineer,14," 1,90,000 "
34,Male,Master's Degree,Back end Developer,8," 1,40,000 "
46,Male,PhD,Software Engineer Manager,16," 1,85,000 "
33,Female,Bachelor's Degree,Full Stack Engineer,7," 1,30,000 "
30,Female,Master's Degree,Front end Developer,5," 1,05,000 "
50,Male,PhD,Senior Project Engineer,19," 2,00,000 "
30,Male,Bachelor's Degree,Back end Developer,5," 1,00,000 "
42,Male,Master's Degree,Software Engineer Manager,13," 1,70,000 "
33,Female,Bachelor's Degree,Full Stack Engineer,6," 1,15,000 "
45,Male,PhD,Senior Project Engineer,16," 1,85,000 "
29,Female,Bachelor's Degree,Front end Developer,4," 90,000 "
39,Female,Master's Degree,Software Engineer Manager,12," 1,60,000 "
27,Male,Bachelor's Degree,Back end Developer,3," 80,000 "
49,Male,PhD,Senior Project Engineer,17," 1,95,000 "
32,Female,Master's Degree,Full Stack Engineer,6," 1,15,000 "
36,Male,Bachelor's Degree,Software Engineer Manager,8," 1,35,000 "
27,Male,Bachelor's Degree,Front end Developer,2," 65,000 "
43,Female,PhD,Senior Project Engineer,14," 1,90,000 "
34,Male,Master's Degree,Back end Developer,8," 1,40,000 "
46,Male,PhD,Software Engineer Manager,16," 1,85,000 "
33,Female,Bachelor's Degree,Full Stack Engineer,7," 1,30,000 "
30,Female,Master's Degree,Front end Developer,5," 1,05,000 "
50,Male,PhD,Senior Project Engineer,19," 2,00,000 "
30,Male,Bachelor's Degree,Back end Developer,5," 1,00,000 "
42,Male,Master's Degree,Software Engineer Manager,13," 1,70,000 "
33,Female,Bachelor's Degree,Full Stack Engineer,6," 1,15,000 "
45,Male,PhD,Senior Project Engineer,16," 1,85,000 "
29,Female,Bachelor's Degree,Front end Developer,4," 90,000 "
27,Male,,Developer,7," 1,00,000 "
31,Female,Bachelor's Degree,Front end Developer,6," 1,10,000 "
37,Male,Master's Degree,Software Engineer Manager,10," 1,50,000 "
27,Male,Bachelor's Degree,Back end Developer,3," 80,000 "
50,Male,PhD,Senior Project Engineer,18," 1,95,000 "
32,Female,Master's Degree,Full Stack Engineer,6," 1,15,000 "
36,Male,Bachelor's Degree,Software Engineer Manager,8," 1,35,000 "
27,Male,Bachelor's Degree,Front end Developer,2," 65,000 "
43,Female,PhD,Senior Project Engineer,14," 1,90,000 "
34,Male,Master's Degree,Back end Developer,8," 1,40,000 "
46,Male,PhD,Software Engineer Manager,16," 1,85,000 "
33,Female,Bachelor's Degree,Full Stack Engineer,7," 1,30,000 "
30,Female,Master's Degree,Front end Developer,5," 1,05,000 "
50,Male,PhD,Senior Project Engineer,19," 2,00,000 "
30,Male,Bachelor's Degree,Back end Developer,5," 1,00,000 "
42,Male,Master's Degree,Software Engineer Manager,13," 1,70,000 "
33,Female,Bachelor's Degree,Full Stack Engineer,6," 1,15,000 "
45,Male,PhD,Senior Project Engineer,16," 1,85,000 "
29,Female,Bachelor's Degree,Front end Developer,4," 90,000 "
39,Female,Master's Degree,Software Engineer Manager,12," 1,60,000 "
27,Male,Bachelor's Degree,Back end Developer,3," 80,000 "
49,Male,PhD,Senior Project Engineer,17," 1,95,000 "
32,Female,Master's Degree,Full Stack Engineer,6," 1,15,000 "
36,Male,Bachelor's Degree,Software Engineer Manager,8," 1,35,000 "
27,Male,Bachelor's Degree,Front end Developer,2," 65,000 "
43,Female,PhD,Senior Project Engineer,14," 1,90,000 "
34,Male,Master's Degree,Back end Developer,8," 1,40,000 "
46,Male,PhD,Software Engineer Manager,16," 1,85,000 "
33,Female,Bachelor's Degree,Full Stack Engineer,7," 1,30,000 "
30,Female,Master's Degree,Front end Developer,5," 1,05,000 "
50,Male,PhD,Senior Project Engineer,19," 2,00,000 "
30,Male,Bachelor's Degree,Back end Developer,5," 1,00,000 "
42,Male,Master's Degree,Software Engineer Manager,13," 1,70,000 "
33,Female,Bachelor's Degree,Full Stack Engineer,6," 1,15,000 "
45,Male,PhD,Senior Project Engineer,16," 1,85,000 "
29,Female,Bachelor's Degree,Front end Developer,4," 90,000 "
39,Female,Master's Degree,Software Engineer Manager,12," 1,60,000 "
27,Male,Bachelor's Degree,Back end Developer,3," 80,000 "
49,Male,PhD,Senior Project Engineer,17," 1,95,000 "
32,Female,Master's Degree,Full Stack Engineer,6," 1,15,000 "
36,Male,Bachelor's Degree,Software Engineer Manager,8," 1,35,000 "
27,Male,Bachelor's Degree,Front end Developer,2," 65,000 "
43,Female,PhD,Senior Project Engineer,14," 1,90,000 "
34,Male,Master's Degree,Back end Developer,8," 1,40,000 "
46,Male,PhD,Software Engineer Manager,16," 1,85,000 "
33,Female,Bachelor's Degree,Full Stack Engineer,7," 1,30,000 "
30,Female,Master's Degree,Front end Developer,5," 1,05,000 "
50,Male,PhD,Senior Project Engineer,19," 2,00,000 "
30,Male,Bachelor's Degree,Back end Developer,5," 1,00,000 "
42,Male,Master's Degree,Software Engineer Manager,13," 1,70,000 "
33,Female,Bachelor's Degree,Full Stack Engineer,6," 1,15,000 "
45,Male,PhD,Senior Project Engineer,16," 1,85,000 "
29,Female,Bachelor's Degree,Front end Developer,4," 90,000 "
39,Female,Master's Degree,Software Engineer Manager,12," 1,60,000 "
27,Male,Bachelor's Degree,Back end Developer,3," 80,000 "
49,Male,PhD,Senior Project Engineer,17," 1,95,000 "
32,Female,Master's Degree,Full Stack Engineer,6," 1,15,000 "
36,Male,Bachelor's Degree,Software Engineer Manager,8," 1,35,000 "
27,Male,Bachelor's Degree,Front end Developer,2," 65,000 "
43,Female,PhD,Senior Project Engineer,14," 1,90,000 "
34,Male,Master's Degree,Back end Developer,8," 1,40,000 "
46,Male,PhD,Software Engineer Manager,16," 1,85,000 "
33,Female,Bachelor's Degree,Full Stack Engineer,7," 1,30,000 "
30,Female,Master's Degree,Front end Developer,5," 1,05,000 "
50,Male,PhD,Senior Project Engineer,19," 2,00,000 "
30,Male,Bachelor's Degree,Back end Developer,5," 1,00,000 "
42,Male,Master's Degree,Software Engineer Manager,13," 1,70,000 "
33,Female,Bachelor's Degree,Full Stack Engineer,6," 1,15,000 "
45,Male,PhD,Senior Project Engineer,16," 1,85,000 "
29,Female,Bachelor's Degree,Front end Developer,4," 90,000 "
39,Female,Master's Degree,Software Engineer Manager,12," 1,60,000 "
27,Male,Bachelor's Degree,Back end Developer,3," 80,000 "
49,Male,PhD,Senior Project Engineer,17," 1,95,000 "
32,Female,Master's Degree,Full Stack Engineer,6," 1,15,000 "
36,Male,Bachelor's Degree,Software Engineer Manager,8," 1,35,000 "
27,Male,Bachelor's Degree,Front end Developer,2," 65,000 "
43,Female,PhD,Senior Project Engineer,14," 1,90,000 "
34,Male,Master's Degree,Back end Developer,8," 1,40,000 "
46,Male,PhD,Software Engineer Manager,16," 1,85,000 "
33,Female,Bachelor's Degree,Full Stack Engineer,7," 1,30,000 "
30,Female,Master's Degree,Front end Developer,5," 1,05,000 "
50,Male,PhD,Senior Project Engineer,19," 2,00,000 "
30,Male,Bachelor's Degree,Back end Developer,5," 1,00,000 "
42,Male,Master's Degree,Software Engineer Manager,13," 1,70,000 "
33,Female,Bachelor's Degree,Full Stack Engineer,6," 1,15,000 "
45,Male,PhD,Senior Project Engineer,16," 1,85,000 "
29,Female,Bachelor's Degree,Front end Developer,4," 90,000 "
39,Female,Master's Degree,Software Engineer Manager,12," 1,60,000 "
27,Male,Bachelor's Degree,Back end Developer,3," 80,000 "
49,Male,PhD,Senior Project Engineer,17," 1,95,000 "
32,Female,Master's Degree,Full Stack Engineer,6," 1,15,000 "
36,Male,Bachelor's Degree,Software Engineer Manager,8," 1,35,000 "
27,Male,Bachelor's Degree,Front end Developer,2," 65,000 "
43,Female,PhD,Senior Project Engineer,14," 1,90,000 "
34,Male,Master's Degree,Back end Developer,8," 1,40,000 "
46,Male,PhD,Software Engineer Manager,16," 1,85,000 "
33,Female,Bachelor's Degree,Full Stack Engineer,7," 1,30,000 "
30,Female,Master's Degree,Front end Developer,5," 1,05,000 "
50,Male,PhD,Senior Project Engineer,19," 2,00,000 "
30,Male,Bachelor's Degree,Back end Developer,5," 1,00,000 "
42,Male,Master's Degree,Software Engineer Manager,13," 1,70,000 "
33,Female,Bachelor's Degree,Full Stack Engineer,6," 1,15,000 "
45,Male,PhD,Senior Project Engineer,16," 1,85,000 "
29,Female,Bachelor's Degree,Front end Developer,4," 90,000 "
39,Female,Master's Degree,Software Engineer Manager,12," 1,60,000 "
27,Male,Bachelor's Degree,Back end Developer,3," 80,000 "
49,Male,PhD,Senior Project Engineer,17," 1,95,000 "
32,Female,Master's Degree,Full Stack Engineer,6," 1,15,000 "
36,Male,Bachelor's Degree,Software Engineer Manager,8," 1,35,000 "
27,Male,Bachelor's Degree,Front end Developer,2," 65,000 "
43,Female,PhD,Senior Project Engineer,14," 1,90,000 "
34,Male,Master's Degree,Back end Developer,8," 1,40,000 "
46,Male,PhD,Software Engineer Manager,16," 1,85,000 "
33,Female,Bachelor's Degree,Full Stack Engineer,7," 1,30,000 "
30,Female,Master's Degree,Front end Developer,5," 1,05,000 "
50,Male,PhD,Senior Project Engineer,19," 2,00,000 "
30,Male,Bachelor's Degree,Back end Developer,5," 1,00,000 "
42,Male,Master's Degree,Software Engineer Manager,13," 1,70,000 "
33,Female,Bachelor's Degree,Full Stack Engineer,6," 1,15,000 "
45,Male,PhD,Senior Project Engineer,16," 1,85,000 "
29,Female,Bachelor's Degree,Front end Developer,4," 90,000 "
31,Male,Master's Degree,Software Engineer Manager,8," 1,30,000 "
27,Male,Bachelor's Degree,Back end Developer,3," 80,000 "
43,Male,PhD,Senior Project Engineer,15," 1,80,000 "
35,Female,Master's Degree,Full Stack Engineer,8," 1,40,000 "
42,Male,Bachelor's Degree,Software Engineer Manager,12," 1,60,000 "
28,Female,Bachelor's Degree,Front end Developer,2," 55,000 "
44,Female,PhD,Senior Project Engineer,16," 1,90,000 "
32,Male,Master's Degree,Back end Developer,7," 1,20,000 "
48,Male,PhD,Software Engineer Manager,18," 2,00,000 "
30,Female,Bachelor's Degree,Full Stack Engineer,5," 1,00,000 "
34,Male,Master's Degree,Front end Developer,9," 1,50,000 "
37,Female,Bachelor's Degree,Software Engineer Manager,11," 1,70,000 "
26,Male,Bachelor's Degree,Back end Developer,2," 65,000 "
49,Female,PhD,Senior Project Engineer,19," 2,10,000 "
29,Male,Bachelor's Degree,Full Stack Engineer,4," 90,000 "
41,Male,Master's Degree,Software Engineer Manager,14," 1,80,000 "
31,Female,Bachelor's Degree,Front end Developer,6," 1,10,000 "
37,Male,Master's Degree,Software Engineer Manager,10," 1,50,000 "
27,Male,Bachelor's Degree,Back end Developer,3," 80,000 "
50,Male,PhD,Senior Project Engineer,18," 1,95,000 "
32,Female,Master's Degree,Full Stack Engineer,6," 1,15,000 "
36,Male,Bachelor's Degree,Software Engineer Manager,8," 1,35,000 "
27,Male,Bachelor's Degree,Front end Developer,2," 65,000 "
43,Female,PhD,Senior Project Engineer,14," 1,90,000 "
34,Male,Master's Degree,Back end Developer,8," 1,40,000 "
46,Male,PhD,Software Engineer Manager,16," 1,85,000 "
33,Female,Bachelor's Degree,Full Stack Engineer,7," 1,30,000 "
30,Female,Master's Degree,Front end Developer,5," 1,05,000 "
50,Male,PhD,Senior Project Engineer,19," 2,00,000 "
30,Male,Bachelor's Degree,Back end Developer,5," 1,00,000 "
42,Male,Master's Degree,Software Engineer Manager,13," 1,70,000 "
33,Female,Bachelor's Degree,Full Stack Engineer,6," 1,15,000 "
45,Male,PhD,Senior Project Engineer,16," 1,85,000 "
29,Female,Bachelor's Degree,Front end Developer,4," 90,000 "
39,Female,Master's Degree,Software Engineer Manager,12," 1,60,000 "
27,Male,Bachelor's Degree,Back end Developer,3," 80,000 "
49,Male,PhD,Senior Project Engineer,17," 1,95,000 "
32,Female,Master's Degree,Full Stack Engineer,6," 1,15,000 "
36,Male,Bachelor's Degree,Software Engineer Manager,8," 1,35,000 "
27,Male,Bachelor's Degree,Front end Developer,2," 65,000 "
43,Female,PhD,Senior Project Engineer,14," 1,90,000 "
34,Male,Master's Degree,Back end Developer,8," 1,40,000 "
46,Male,PhD,Software Engineer Manager,16," 1,85,000 "
33,Female,Bachelor's Degree,Full Stack Engineer,7," 1,30,000 "
30,Female,Master's Degree,Front end Developer,5," 1,05,000 "
50,Male,PhD,Senior Project Engineer,19," 2,00,000 "
30,Male,Bachelor's Degree,Back end Developer,5," 1,00,000 "
42,Male,Master's Degree,Software Engineer Manager,13," 1,70,000 "
33,Female,Bachelor's Degree,Full Stack Engineer,6," 1,15,000 "
45,Male,PhD,Senior Project Engineer,16," 1,85,000 "
29,Female,Bachelor's Degree,Front end Developer,4," 90,000 "
39,Female,Master's Degree,Software Engineer Manager,12," 1,60,000 "
27,Male,Bachelor's Degree,Back end Developer,3," 80,000 "
49,Male,PhD,Senior Project Engineer,17," 1,95,000 "
32,Female,Master's Degree,Full Stack Engineer,6," 1,15,000 "
36,Male,Bachelor's Degree,Software Engineer Manager,8," 1,35,000 "
27,Male,Bachelor's Degree,Front end Developer,2," 65,000 "
43,Female,PhD,Senior Project Engineer,14," 1,90,000 "
34,Male,Master's Degree,Back end Developer,8," 1,40,000 "
46,Female,PhD,Senior Project Engineer,16," 1,85,000 "
33,Male,Bachelor's Degree,Full Stack Engineer,7," 1,30,000 "
30,Male,Master's Degree,Front end Developer,5," 1,05,000 "
50,Male,PhD,Software Engineer Manager,20," 2,10,000 "
31,Male,Bachelor's Degree,Back end Developer,6," 95,000 "
39,Female,Master's Degree,Software Engineer Manager,11," 1,70,000 "
27,Male,Bachelor's Degree,Front end Developer,2," 65,000 "
44,Female,PhD,Senior Project Engineer,16," 1,90,000 "
32,Male,Master's Degree,Back end Developer,7," 1,20,000 "
48,Male,PhD,Software Engineer Manager,19," 2,00,000 "
30,Female,Bachelor's Degree,Full Stack Engineer,5," 1,00,000 "
34,Male,Master's Degree,Front end Developer,9," 1,50,000 "
37,Female,Bachelor's Degree,Software Engineer Manager,11," 1,70,000 "
26,Male,Bachelor's Degree,Back end Developer,2," 65,000 "
49,Female,PhD,Senior Project Engineer,19," 2,10,000 "
29,Male,Bachelor's Degree,Full Stack Engineer,4," 90,000 "
41,Male,Master's Degree,Software Engineer Manager,14," 1,80,000 "
31,Female,Bachelor's Degree,Front end Developer,6," 1,10,000 "
37,Male,Master's Degree,Software Engineer Manager,10," 1,50,000 "
27,Male,Bachelor's Degree,Back end Developer,3," 80,000 "
50,Male,PhD,Senior Project Engineer,18," 1,95,000 "
32,Female,Master's Degree,Full Stack Engineer,6," 1,15,000 "
36,Male,Bachelor's Degree,Software Engineer Manager,8," 1,35,000 "
27,Male,Bachelor's Degree,Front end Developer,2," 65,000 "
43,Female,PhD,Senior Project Engineer,14," 1,90,000 "
34,Male,Master's Degree,Back end Developer,8," 1,40,000 "
46,Male,PhD,Software Engineer Manager,16," 1,85,000 "
33,Female,Bachelor's Degree,Full Stack Engineer,7," 1,30,000 "
30,Female,Master's Degree,Front end Developer,5," 1,05,000 "
50,Male,PhD,Senior Project Engineer,19," 2,00,000 "
30,Male,Bachelor's Degree,Back end Developer,5," 1,00,000 "
42,Male,Master's Degree,Software Engineer Manager,13," 1,70,000 "
33,Female,Bachelor's Degree,Full Stack Engineer,6," 1,15,000 "
45,Male,PhD,Senior Project Engineer,16," 1,85,000 "
29,Female,Bachelor's Degree,Front end Developer,4," 90,000 "
39,Female,Master's Degree,Software Engineer Manager,12," 1,60,000 "
27,Male,Bachelor's Degree,Back end Developer,3," 80,000 "
49,Male,PhD,Senior Project Engineer,17," 1,95,000 "
32,Female,Master's Degree,Full Stack Engineer,6," 1,15,000 "
36,Male,Bachelor's Degree,Software Engineer Manager,8," 1,35,000 "
27,Male,Bachelor's Degree,Front end Developer,2," 65,000 "
43,Female,PhD,Senior Project Engineer,14," 1,90,000 "
34,Male,Master's Degree,Back end Developer,8," 1,40,000 "
46,Male,PhD,Software Engineer Manager,16," 1,85,000 "
33,Female,Bachelor's Degree,Full Stack Engineer,7," 1,30,000 "
30,Female,Master's Degree,Front end Developer,5," 1,05,000 "
50,Male,PhD,Senior Project Engineer,19," 2,00,000 "
30,Male,Bachelor's Degree,Back end Developer,5," 1,00,000 "
42,Male,Master's Degree,Software Engineer Manager,13," 1,70,000 "
33,Female,Bachelor's Degree,Full Stack Engineer,6," 1,15,000 "
45,Male,PhD,Senior Project Engineer,16," 1,85,000 "
29,Female,Bachelor's Degree,Front end Developer,4," 90,000 "
39,Female,Master's Degree,Software Engineer Manager,12," 1,60,000 "
27,Male,Bachelor's Degree,Back end Developer,3," 80,000 "
49,Male,PhD,Senior Project Engineer,17," 1,95,000 "
32,Female,Master's Degree,Full Stack Engineer,6," 1,15,000 "
36,Male,Bachelor's Degree,Software Engineer Manager,8," 1,35,000 "
27,Male,Bachelor's Degree,Front end Developer,2," 65,000 "
43,Female,PhD,Senior Project Engineer,14," 1,90,000 "
34,Male,Master's Degree,Back end Developer,8," 1,40,000 "
28,Male,Bachelor's Degree,Software Engineer,4," 75,000 "
33,Female,Master's Degree,Data Analyst,7," 95,000 "
22,Male,Bachelor's Degree,Front End Developer,1," 50,000 "
44,Male,PhD,Senior Data Scientist,15," 1,80,000 "
29,Female,Bachelor's Degree,Software Developer,3," 65,000 "
31,Male,Master's Degree,Product Manager,6," 1,20,000 "
25,Female,Master's Degree,Software Engineer,2," 60,000 "
38,Male,Bachelor's Degree,Data Scientist,10," 1,50,000 "
27,Male,Bachelor's Degree,Software Engineer,3," 70,000 "
46,Female,PhD,Director of Data Science,20," 2,20,000 "
33,Male,Master's Degree,Data Analyst,8," 1,00,000 "
24,Female,Bachelor's Degree,Software Developer,2," 55,000 "
36,Male,PhD,Senior Data Scientist,12," 1,70,000 "
30,Female,Bachelor's Degree,Software Engineer,5," 90,000 "
29,Male,Bachelor's Degree,Front End Developer,4," 80,000 "
42,Male,Master's Degree,Product Manager,14," 1,80,000 "
26,Male,Bachelor's Degree,Software Developer,2," 60,000 "
35,Female,Master's Degree,Data Analyst,9," 1,20,000 "
27,Female,Bachelor's Degree,Software Engineer,3," 70,000 "
48,Male,PhD,Director of Data Science,18," 2,10,000 "
34,Male,Master's Degree,Data Scientist,9," 1,40,000 "
23,Female,Bachelor's Degree,Software Engineer,1," 50,000 "
32,Male,Master's Degree,Product Manager,7," 1,10,000 "
25,Female,Master's Degree,Software Engineer,2," 60,000 "
37,Male,Bachelor's Degree,Data Analyst,11," 1,60,000 "
28,Male,Bachelor's Degree,Software Engineer,4," 75,000 "
41,Female,PhD,Director of Data Science,16," 2,00,000 "
34,Male,Master's Degree,Data Analyst,8," 1,00,000 "
24,Female,Bachelor's Degree,Software Developer,2," 55,000 "
36,Male,PhD,Senior Data Scientist,12," 1,70,000 "
30,Female,Bachelor's Degree,Software Engineer,5," 90,000 "
29,Male,Bachelor's Degree,Front End Developer,4," 80,000 "
42,Male,Master's Degree,Product Manager,14," 1,80,000 "
26,Male,Bachelor's Degree,Software Developer,2," 60,000 "
35,Female,Master's Degree,Data Analyst,9," 1,20,000 "
27,Female,Bachelor's Degree,Software Engineer,3," 70,000 "
48,Male,PhD,Director of Data Science,18," 2,10,000 "
34,Male,Master's Degree,Data Scientist,9," 1,40,000 "
23,Female,Bachelor's Degree,Software Engineer,1," 50,000 "
32,Male,Master's Degree,Product Manager,7," 1,10,000 "
25,Female,Master's Degree,Software Engineer,2," 60,000 "
37,Male,Bachelor's Degree,Data Analyst,11," 1,60,000 "
28,Male,Bachelor's Degree,Software Engineer,4," 75,000 "
41,Female,PhD,Director of Data Science,16," 2,00,000 "
34,Male,Master's Degree,Data Analyst,8," 1,00,000 "
24,Female,Bachelor's Degree,Software Developer,2," 55,000 "
36,Male,PhD,Senior Data Scientist,12," 1,70,000 "
30,Female,Bachelor's Degree,Software Engineer,5," 90,000 "
29,Male,Bachelor's Degree,Front End Developer,4," 80,000 "
42,Male,Master's Degree,Product Manager,14," 1,80,000 "
26,Male,Bachelor's Degree,Software Developer,2," 60,000 "
35,Female,Master's Degree,Data Analyst,9," 1,20,000 "
27,Female,Bachelor's Degree,Software Engineer,3," 70,000 "
48,Male,PhD,Director of Data Science,18," 2,10,000 "
34,Male,Master's Degree,Data Scientist,9," 1,40,000 "
23,Female,Bachelor's Degree,Software Engineer,1," 50,000 "
32,Male,Master's Degree,Product Manager,7," 1,10,000 "
25,Female,Master's Degree,Software Engineer,2," 60,000 "
37,Male,Bachelor's Degree,Data Analyst,11," 1,60,000 "
28,Male,Bachelor's Degree,Software Engineer,4," 75,000 "
41,Female,PhD,Director of Data Science,16," 2,00,000 "
34,Male,Master's Degree,Data Analyst,8," 1,00,000 "
24,Female,Bachelor's Degree,Software Developer,2," 55,000 "
36,Male,PhD,Senior Data Scientist,12," 1,70,000 "
30,Female,Bachelor's Degree,Software Engineer,5," 90,000 "
29,Male,Bachelor's Degree,Front End Developer,4," 80,000 "
42,Male,Master's Degree,Product Manager,14," 1,80,000 "
26,Male,Bachelor's Degree,Software Developer,2," 60,000 "
35,Female,Master's Degree,Data Analyst,9," 1,20,000 "
27,Female,Bachelor's Degree,Software Engineer,3," 70,000 "
48,Male,PhD,Director of Data Science,18," 2,10,000 "
34,Male,Master's Degree,Data Scientist,9," 1,40,000 "
23,Female,Bachelor's Degree,Software Engineer,1," 50,000 "
32,Male,Master's Degree,Product Manager,7," 1,10,000 "
25,Female,Master's Degree,Software Engineer,2," 60,000 "
37,Male,Bachelor's Degree,Data Analyst,11," 1,60,000 "
28,Male,Bachelor's Degree,Software Engineer,4," 75,000 "
41,Female,PhD,Director of Data Science,16," 2,00,000 "
34,Male,Master's Degree,Data Analyst,8," 1,00,000 "
24,Female,Bachelor's Degree,Software Developer,2," 55,000 "
36,Male,PhD,Senior Data Scientist,12," 1,70,000 "
30,Female,Bachelor's Degree,Software Engineer,5," 90,000 "
29,Male,Bachelor's Degree,Front End Developer,4," 80,000 "
42,Male,Master's Degree,Product Manager,14," 1,80,000 "
26,Male,Bachelor's Degree,Software Developer,2," 60,000 "
35,Female,Master's Degree,Data Analyst,9," 1,20,000 "
27,Female,Bachelor's Degree,Software Engineer,3," 70,000 "
48,Male,PhD,Director of Data Science,18," 2,10,000 "
34,Male,Master's Degree,Data Scientist,9," 1,40,000 "
23,Female,Bachelor's Degree,Software Engineer,1," 50,000 "
32,Male,Master's Degree,Product Manager,7," 1,10,000 "
25,Female,Master's Degree,Software Engineer,2," 60,000 "
37,Male,Bachelor's Degree,Data Analyst,11," 1,60,000 "
28,Male,Bachelor's Degree,Software Engineer,4," 75,000 "
41,Female,PhD,Director of Data Science,16," 2,00,000 "
34,Male,Master's Degree,Data Analyst,8," 1,00,000 "
24,Female,Bachelor's Degree,Software Developer,2," 55,000 "
36,Male,PhD,Senior Data Scientist,12," 1,70,000 "
30,Female,Bachelor's Degree,Software Engineer,5," 90,000 "
29,Male,Bachelor's Degree,Front End Developer,4," 80,000 "
42,Male,Master's Degree,Product Manager,14," 1,80,000 "
26,Male,Bachelor's Degree,Software Developer,2," 60,000 "
35,Female,Master's Degree,Data Analyst,9," 1,20,000 "
27,Female,Bachelor's Degree,Software Engineer,3," 70,000 "
48,Male,PhD,Director of Data Science,18," 2,10,000 "
34,Male,Master's Degree,Data Scientist,9," 1,40,000 "
23,Female,Bachelor's Degree,Software Engineer,1," 50,000 "
32,Male,Master's Degree,Product Manager,7," 1,10,000 "
25,Female,Master's Degree,Software Engineer,2," 60,000 "
37,Male,Bachelor's Degree,Data Analyst,11," 1,60,000 "
28,Male,Bachelor's Degree,Software Engineer,4," 75,000 "
